Team,Drivers_Numbers,Drivers,DOB,POB,Country,Debut,DebutPlace,Championship,Wins,Podiums,Pole_positions,Fastest_Laps,Starts,Career_Points
Mercedes AMG ,77,Valtteri Bottas,28/08/1989,Nastola,Finland,17/03/2013,Australia,0,7,45,11,13,139,1289
Mercedes AMG ,44,Lewis Hamilton,07/01/1985,Stevenage,United Kingdom,18/03/2007,Australia,6,84,151,88,47,250,3431
Scuderia Ferrari,5,Sebastian Vettel,03/07/1987,Heppenheim,Germany,17/07/2007,Indianapolis,4,53,120,57,38,240,2985
Scuderia Ferrari,16,Charles Leclerc,16/10/1997,Monte Carlo,Monaco,25/03/2018,Australia,0,2,10,7,4,42,303
RedBull Racing,33,Max Verstappen,30/09/1997,Hasselt,The Netherlands,15/03/2015,Australia,0,8,31,2,7,102,948
RedBull Racing,23,Alexander Albon,23/03/1996,London ,Thailand,17/03/2019,Australia,0,0,0,0,0,21,92
Mclaren,55,Carlos Sainz Jr.,01/09/1994,Madrid,Spain,15/03/2015,Australia,0,0,1,0,0,102,267
Mclaren,4,Lando Noris,13/11/1999,Bristol,United Kingdom,17/03/2019,Australia,0,0,0,0,0,21,49
Renault RS,3,Daniel Ricciardo,01/07/1989,Perth,Australia,10/01/2011,Silverstone,0,7,29,3,13,171,1040
Renault RS,31,Esteban Ocon,17/09/1996,Évreux,France,28/08/2016,Belgium,0,0,0,0,0,50,136
Racing Point,18,Lance Stroll,29/10/1998,Montreal,Canada,26/03/2017,Australia,0,0,1,0,0,62,67
Racing Point,11,Sergio Perez,26/01/1990,Guadalajara,Mexico,27/03/2011,Australia,0,0,8,0,4,176,581
Haas,8,Romain Grosjean,17/04/1986,Geneva,French,23/08/2009,Valencia,0,0,10,0,1,164,389
Haas,20,Kevin Magnussen,05/10/1992,Roskilde,Denmark,16/03/2014,Austalia,0,0,1,0,2,102,157
AlphaTauri,10,Pierre Gasly,07/02/1996,Rouen,France,01/10/2017,Malaysia,0,0,1,0,2,47,124
AlphaTauri,26,Daniil Kvyat,26/04/1994,Ufa,Russia,16/03/2014,Austalia,0,0,3,0,1,93,170
Williams,63,George Russell,15/02/1998,Norfolk,United Kingdom,17/03/2019,Australia,0,0,0,0,0,21,0
Williams,6,Nicholas Latifi,29/06/1995,Montreal,Canada,15/03/2020,Australia,0,0,0,0,0,0,0
AlfaRomeo,7,Kimi Raikönen,17/10/1979,Espoo,Finland,04/03/2001,Australia,1,21,103,18,46,312,1859
AlfaRomeo,99,Antonio Giovenazzi,14/12/1993,Martina Franca,Italy,26/03/2017,Australia,0,0,0,0,0,23,14
